variant,total_parameters,G,C,mIoU,IoU,Dice
bilinear_interpolation,1150027,0.7434941238599786,0.5395499794246531,0.3722889764934716,0.3722889764934716,0.46198694318603206
segnet_basic,1776139,0.7154106172880901,0.5480932236903584,0.34856115652671177,0.34856115652671177,0.4358999993330515
segnet_basic_encoder_addition,1776139,0.7246303312768241,0.6018001217360233,0.3736265641661261,0.3736265641661261,0.4634341379743742
fcn_basic,1155758,0.7257386563673551,0.5623125654735613,0.37161680589121965,0.37161680589121965,0.4652570509168124
fcn_basic_no_dim_reduction,2120651,0.7040310970191792,0.5654446350432084,0.3663268674788482,0.3663268674788482,0.456504816623413
segnet_skip,2181643,0.5409600908664163,0.41244079395232935,0.22694819431219102,0.22694819431219102,0.2926581173031197
